# cfh_batch: enumerating strict hypothesis-meeting (A,k) and certifying
# max_base=12, sizes [3, 5], k in [1, 2]
# A                              k   R        c*           T*           step    
  {3,7,8,10,11}                  1   1.021    6            27           11      
  {3,7,8,10,11}                  2   1.021    3261         6561         12      
  {3,7,8,10,12}                  1   1.012    14           81           13      
  {3,7,8,10,12}                  2   1.012    3319         6561         13      
  {3,7,8,11,12}                  1   1        25           81           24      
  {3,7,8,11,12}                  2   1        4173         20736        22      
  {3,7,9,10,11}                  1   1.003    15           81           17      
  {3,7,9,10,11}                  2   1.003    15288        100000       16      
  {4,5,6,7,8}                    1   1.093    3            16           8       
  {4,5,6,7,8}                    2   1.093    2368         15625        7       
  {4,5,6,7,9}                    1   1.075    8            25           9       
  {4,5,6,7,9}                    2   1.075    1679         3125         8       
  {4,5,6,7,10}                   1   1.061    24           49           10      
  {4,5,6,7,10}                   2   1.061    2524         7776         9       
  {4,5,6,7,11}                   1   1.05     19           121          9       
  {4,5,6,7,11}                   2   1.05     3328         7776         9       
  {4,5,6,7,12}                   1   1.041    14           49           10      
  {4,5,6,7,12}                   2   1.041    2900         15625        8       
  {4,5,6,8,9}                    1   1.051    7            25           9       
  {4,5,6,8,9}                    2   1.051    4706         15625        10      
  {4,5,6,8,10}                   1   1.037    7            16           10      
  {4,5,6,8,10}                   2   1.037    12772        32768        9       
  {4,5,6,8,11}                   1   1.026    7            16           11      
  {4,5,6,8,11}                   2   1.026    3720         7776         12      
  {4,5,6,8,12}                   1   1.017    7            16           13      
  {4,5,6,8,12}                   2   1.017    8296         20736        14      
  {4,5,6,9,10}                   1   1.019    33           81           12      
  {4,5,6,9,10}                   2   1.019    8070         15625        13      
  {4,5,6,9,11}                   1   1.008    48           216          14      
  {4,5,6,9,11}                   2   1.008    3736         14641        13      
  {4,5,7,8,9}                    1   1.018    10           25           12      
  {4,5,7,8,9}                    2   1.018    4122         15625        11      
  {4,5,7,8,10}                   1   1.004    6            16           17      
  {4,5,7,8,10}                   2   1.004    4376         15625        16      

# summary: 350 strict hypothesis-meeting cases tested.
#          349 verified (Erdos 124 unconditionally certified)
#          1 failed verification
#          10.13s elapsed
