# cfh_batch: enumerating strict hypothesis-meeting (A,k) and certifying
# max_base=20, sizes [3, 5], k in [1, 2]
# A                              k   R        c*           T*           step    
  {3,4,5,8,17}                   2   1.289    736          729          7       
  {3,4,5,8,18}                   1   1.285    10           25           6       
  {3,4,5,8,18}                   2   1.285    703          2187         6       
  {3,4,5,8,19}                   1   1.282    10           16           7       
  {3,4,5,8,19}                   2   1.282    824          2187         6       
  {3,4,5,8,20}                   1   1.279    10           25           6       
  {3,4,5,8,20}                   2   1.279    719          729          6       
  {3,4,5,9,10}                   1   1.319    11           25           6       
  {3,4,5,9,10}                   2   1.319    898          2187         5       
  {3,4,5,9,11}                   1   1.308    10           16           6       
  {3,4,5,9,11}                   2   1.308    913          1331         6       
  {3,4,5,9,12}                   1   1.299    11           16           6       
  {3,4,5,9,12}                   2   1.299    977          1728         6       
  {3,4,5,9,13}                   1   1.292    15           25           6       
  {3,4,5,9,13}                   2   1.292    1136         3125         6       
  {3,4,5,9,14}                   1   1.285    15           25           6       
  {3,4,5,9,14}                   2   1.285    1136         2744         5       
  {3,4,5,9,15}                   1   1.28     11           16           7       
  {3,4,5,9,15}                   2   1.28     898          2187         6       
  {3,4,5,9,16}                   1   1.275    15           64           4       
  {3,4,5,9,16}                   2   1.275    1304         3125         5       
  {3,4,5,9,17}                   1   1.271    15           25           6       
  {3,4,5,9,17}                   2   1.271    898          2187         6       
  {3,4,5,9,18}                   1   1.267    15           25           6       
  {3,4,5,9,18}                   2   1.267    950          2187         6       
  {3,4,5,9,19}                   1   1.264    15           25           6       
  {3,4,5,9,19}                   2   1.264    905          2187         6       
  {3,4,5,9,20}                   1   1.261    15           64           4       
  {3,4,5,9,20}                   2   1.261    1233         3125         5       
  {3,4,5,10,11}                  1   1.294    6            16           6       
  {3,4,5,10,11}                  2   1.294    928          1331         6       
  {3,4,5,10,12}                  1   1.285    11           16           6       
  {3,4,5,10,12}                  2   1.285    880          1728         5       
  {3,4,5,10,13}                  1   1.278    11           16           6       
  {3,4,5,10,13}                  2   1.278    889          2187         5       
  {3,4,5,10,14}                  1   1.271    11           25           6       
  {3,4,5,10,14}                  2   1.271    916          2187         5       
  {3,4,5,10,15}                  1   1.266    11           16           7       
  {3,4,5,10,15}                  2   1.266    925          2187         5       
  {3,4,5,10,16}                  1   1.261    11           16           7       
  {3,4,5,10,16}                  2   1.261    1236         3125         5       
  {3,4,5,10,17}                  1   1.257    11           16           7       
  {3,4,5,10,17}                  2   1.257    1007         2187         5       
  {3,4,5,10,18}                  1   1.253    11           25           6       
  {3,4,5,10,18}                  2   1.253    1007         2187         5       
  {3,4,5,10,19}                  1   1.25     11           25           6       
  {3,4,5,10,19}                  2   1.25     1007         2187         6       
  {3,4,5,10,20}                  1   1.247    11           16           7       
  {3,4,5,10,20}                  2   1.247    1055         2187         6       
  {3,4,5,11,12}                  1   1.274    22           64           5       
  {3,4,5,11,12}                  2   1.274    664          1331         6       
  {3,4,5,11,13}                  1   1.267    10           16           7       
  {3,4,5,11,13}                  2   1.267    937          1331         6       
  {3,4,5,11,14}                  1   1.26     10           16           7       
  {3,4,5,11,14}                  2   1.26     824          1331         6       
  {3,4,5,11,15}                  1   1.255    10           16           7       
  {3,4,5,11,15}                  2   1.255    928          1331         6       
  {3,4,5,11,16}                  1   1.25     26           243          6       
  {3,4,5,11,16}                  2   1.25     824          1331         6       
  {3,4,5,11,17}                  1   1.246    10           16           7       
  {3,4,5,11,17}                  2   1.246    980          1331         6       
  {3,4,5,11,18}                  1   1.242    10           16           7       
  {3,4,5,11,18}                  2   1.242    828          1331         6       
  {3,4,5,11,19}                  1   1.239    10           16           7       
  {3,4,5,11,19}                  2   1.239    1189         3125         7       
  {3,4,5,11,20}                  1   1.236    26           64           6       
  {3,4,5,11,20}                  2   1.236    946          1331         6       
  {3,4,5,12,13}                  1   1.258    11           25           6       
  {3,4,5,12,13}                  2   1.258    977          3125         7       
  {3,4,5,12,14}                  1   1.251    11           16           7       
  {3,4,5,12,14}                  2   1.251    807          1728         6       
  {3,4,5,12,15}                  1   1.246    11           16           7       
  {3,4,5,12,15}                  2   1.246    977          3125         6       
  {3,4,5,12,16}                  1   1.241    22           64           5       
  {3,4,5,12,16}                  2   1.241    799          1728         6       
  {3,4,5,12,17}                  1   1.237    11           64           5       
  {3,4,5,12,17}                  2   1.237    880          1728         6       
  {3,4,5,12,18}                  1   1.233    11           16           7       
  {3,4,5,12,18}                  2   1.233    787          1728         6       
  {3,4,5,12,19}                  1   1.23     11           16           7       
  {3,4,5,12,19}                  2   1.23     905          1728         6       
  {3,4,5,12,20}                  1   1.227    22           64           6       
  {3,4,5,12,20}                  2   1.227    807          1728         6       
  {3,4,5,13,14}                  1   1.244    15           25           6       
  {3,4,5,13,14}                  2   1.244    1136         2744         7       
  {3,4,5,13,15}                  1   1.238    11           16           6       
  {3,4,5,13,15}                  2   1.238    977          3125         7       
  {3,4,5,13,16}                  1   1.233    15           16           7       
  {3,4,5,13,16}                  2   1.233    1233         3125         7       
  {3,4,5,13,17}                  1   1.229    15           25           6       
  {3,4,5,13,17}                  2   1.229    752          3125         7       
  {3,4,5,13,18}                  1   1.225    15           25           6       
  {3,4,5,13,18}                  2   1.225    876          3125         7       
  {3,4,5,13,19}                  1   1.222    15           16           7       
  {3,4,5,13,19}                  2   1.222    913          3125         7       
  {3,4,5,13,20}                  1   1.219    15           64           6       
  {3,4,5,13,20}                  2   1.219    1233         3125         7       
  {3,4,5,14,15}                  1   1.232    11           25           6       
  {3,4,5,14,15}                  2   1.232    842          2744         5       
  {3,4,5,14,16}                  1   1.227    15           16           6       
  {3,4,5,14,16}                  2   1.227    2416         15625        4       
  {3,4,5,14,17}                  1   1.223    15           16           6       
  {3,4,5,14,17}                  2   1.223    608          729          7       
  {3,4,5,14,18}                  1   1.219    15           25           6       
  {3,4,5,14,18}                  2   1.219    967          2744         5       
  {3,4,5,14,19}                  1   1.216    15           25           6       
  {3,4,5,14,19}                  2   1.216    1004         2744         5       
  {3,4,5,14,20}                  1   1.213    15           16           7       
  {3,4,5,14,20}                  2   1.213    825          2744         5       
  {3,4,5,15,16}                  1   1.221    26           64           7       
  {3,4,5,15,16}                  2   1.221    928          3125         5       
  {3,4,5,15,17}                  1   1.217    11           16           6       
  {3,4,5,15,17}                  2   1.217    1050         3125         5       
  {3,4,5,15,18}                  1   1.214    11           16           6       
  {3,4,5,15,18}                  2   1.214    852          3125         5       
  {3,4,5,15,19}                  1   1.21     11           25           7       
  {3,4,5,15,19}                  2   1.21     3067         6561         5       
  {3,4,5,15,20}                  1   1.207    26           64           6       
  {3,4,5,15,20}                  2   1.207    1189         3125         5       
  {3,4,5,16,17}                  1   1.213    15           64           7       
  {3,4,5,16,17}                  2   1.213    928          3125         5       
