# cfh_batch: enumerating strict hypothesis-meeting (A,k) and certifying
# max_base=20, sizes [3, 5], k in [1, 2]
# A                              k   R        c*           T*           step    
  {3,5,7,13,18}                  2   1.059    4827         59049        8       
  {3,5,7,13,19}                  1   1.056    11           25           10      
  {3,5,7,13,19}                  2   1.056    2711         6561         8       
  {3,5,7,13,20}                  1   1.053    31           81           8       
  {3,5,7,13,20}                  2   1.053    5202         15625        9       
  {3,5,7,14,15}                  1   1.065    13           25           9       
  {3,5,7,14,15}                  2   1.065    3105         15625        7       
  {3,5,7,14,16}                  1   1.06     20           49           9       
  {3,5,7,14,16}                  2   1.06     2980         15625        8       
  {3,5,7,14,17}                  1   1.056    18           49           9       
  {3,5,7,14,17}                  2   1.056    3056         15625        8       
  {3,5,7,14,18}                  1   1.052    20           49           9       
  {3,5,7,14,18}                  2   1.052    5383         38416        9       
  {3,5,7,14,19}                  1   1.049    20           49           9       
  {3,5,7,14,19}                  2   1.049    5588         38416        9       
  {3,5,7,14,20}                  1   1.046    18           49           9       
  {3,5,7,14,20}                  2   1.046    5349         15625        9       
  {3,5,7,15,16}                  1   1.055    13           25           10      
  {3,5,7,15,16}                  2   1.055    2991         15625        8       
  {3,5,7,15,17}                  1   1.051    13           49           9       
  {3,5,7,15,17}                  2   1.051    5774         50625        7       
  {3,5,7,15,18}                  1   1.047    13           25           11      
  {3,5,7,15,18}                  2   1.047    5767         50625        8       
  {3,5,7,15,19}                  1   1.044    13           25           11      
  {3,5,7,15,19}                  2   1.044    6235         50625        8       
  {3,5,7,15,20}                  1   1.041    26           49           9       
  {3,5,7,15,20}                  2   1.041    5534         15625        9       
  {3,5,7,16,17}                  1   1.046    18           49           9       
  {3,5,7,16,17}                  2   1.046    5131         15625        9       
  {3,5,7,16,18}                  1   1.042    47           243          8       
  {3,5,7,16,18}                  2   1.042    5243         15625        9       
  {3,5,7,16,19}                  1   1.039    20           49           9       
  {3,5,7,16,19}                  2   1.039    5443         15625        9       
  {3,5,7,16,20}                  1   1.036    38           81           9       
  {3,5,7,16,20}                  2   1.036    3391         6561         11      
  {3,5,7,17,18}                  1   1.038    13           25           11      
  {3,5,7,17,18}                  2   1.038    5831         15625        9       
  {3,5,7,17,19}                  1   1.035    23           49           9       
  {3,5,7,17,19}                  2   1.035    5804         15625        9       
  {3,5,7,17,20}                  1   1.032    18           49           10      
  {3,5,7,17,20}                  2   1.032    5831         15625        10      
  {3,5,7,18,19}                  1   1.031    20           49           10      
  {3,5,7,18,19}                  2   1.031    5901         15625        10      
  {3,5,7,18,20}                  1   1.028    31           49           11      
  {3,5,7,18,20}                  2   1.028    8244         59049        9       
  {3,5,7,19,20}                  1   1.025    18           25           11      
  {3,5,7,19,20}                  2   1.025    7234         15625        11      
  {3,5,8,9,10}                   1   1.129    7            25           7       
  {3,5,8,9,10}                   2   1.129    3660         15625        7       
  {3,5,8,9,11}                   1   1.118    15           64           6       
  {3,5,8,9,11}                   2   1.118    3500         6561         8       
  {3,5,8,9,12}                   1   1.109    19           81           9       
  {3,5,8,9,12}                   2   1.109    5344         15625        7       
  {3,5,8,9,13}                   1   1.101    19           81           9       
  {3,5,8,9,13}                   2   1.101    3785         6561         9       
  {3,5,8,9,14}                   1   1.095    24           81           9       
  {3,5,8,9,14}                   2   1.095    5442         15625        7       
  {3,5,8,9,15}                   1   1.089    19           81           9       
  {3,5,8,9,15}                   2   1.089    13371        32768        7       
